"genus","condition","avg_abundance"
"Desulfobacterium","a",0.466666666666667
"Desulfobacterium","b",0.3
"Desulfobacula","a",0.1
"Desulfobacula","b",0.0444444444444444
"Desulfobulbus","a",0.306666666666667
"Desulfobulbus","b",0.193333333333333
"Desulfocapsa","a",0.1
"Desulfocapsa","b",0.0333333333333333
"Desulfocarbo","a",0.266666666666667
"Desulfocarbo","b",0.133333333333333
"Desulfococcus","a",0.533333333333333
"Desulfococcus","b",0.383333333333333
"Desulfocurvus","a",0.166666666666667
"Desulfocurvus","b",0.133333333333333
"Desulfofustis","a",0.0666666666666667
"Desulfofustis","b",0.0333333333333333
"Desulfohalobium","a",0.233333333333333
"Desulfohalobium","b",0.1
"Desulfoluna","a",0.8
"Desulfoluna","b",0.466666666666667
"Desulfomicrobium","a",0.877777777777778
"Desulfomicrobium","b",0.766666666666667
"Desulfomonile","a",0.466666666666667
"Desulfomonile","b",0.366666666666667
"Desulfonatronospira","a",0.0333333333333333
